'y-axis saved as y
'x,NN_StartingMaterials_Ba(NO3)2.raw
35.2390966,13
35.2576824,15
35.2762682,13
35.294854,13
35.3134398,14
35.3320256,6
35.3506114,9
35.3691972,7
35.387783,9
35.4063688,3
35.4249546,13
35.4435404,17
35.4621262,13
35.480712,10
35.4992978,7
35.5178836,15
35.5364694,18
35.5550552,10
35.573641,17
35.5922268,5
35.6108126,14
35.6293984,16
35.6479842,14
35.66657,17
35.6851558,17
35.7037416,10
35.7223274,8
35.7409132,14
35.759499,16
35.7780848,16
35.7966706,9
35.8152564,9
35.8338422,11
35.852428,15
35.8710138,9
35.8895996,17
35.9081854,14
35.9267712,15
35.945357,13
35.9639428,9
35.9825286,15
36.0011144,9
36.0197002,11
36.038286,19
36.0568718,11
36.0754576,14
36.0940434,9
36.1126292,18
36.131215,15
36.1498008,7
36.1683866,8
36.1869724,5
36.2055582,10
36.224144,6
36.2427298,10
36.2613156,18
36.2799014,13
36.2984872,19
36.317073,10
36.3356588,12
36.3542446,12
36.3728304,14
36.3914162,8
36.410002,15
36.4285878,9
36.4471736,13
36.4657594,9
36.4843452,11
36.502931,7
36.5215168,13
36.5401026,20
36.5586884,9
36.5772742,21
36.59586,17
36.6144458,20
36.6330316,17
36.6516174,26
36.6702032,30
36.688789,39
36.7073748,64
36.7259606,124
36.7445464,191
36.7631322,269
36.781718,255
36.8003038,211
36.8188896,161
36.8374754,193
36.8560612,179
36.874647,143
36.8932328,123
36.9118186,54
36.9304044,53
36.9489902,41
36.967576,34
36.9861618,24
37.0047476,27
37.0233334,15
37.0419192,16
37.060505,9
37.0790908,20
37.0976766,14
37.1162624,15
37.1348482,19
37.153434,16
37.1720198,22
37.1906056,20
37.2091914,19
37.2277772,17
37.246363,15
37.2649488,21
37.2835346,9
37.3021204,17
37.3207062,14
37.339292,18
37.3578778,11
37.3764636,15
37.3950494,11
37.4136352,18
37.432221,15
37.4508068,14
37.4693926,10
37.4879784,12
37.5065642,12
37.52515,11
37.5437358,14
37.5623216,10
37.5809074,19
37.5994932,18
37.618079,8
37.6366648,7
37.6552506,16
37.6738364,13
37.6924222,18
37.711008,14
37.7295938,13
