wavelength,"(174, 3052)","(180, 3085)","(143, 3166)","(158, 3222)","(170, 3189)","(161, 3058)","(173, 3138)","(146, 3174)","(159, 3142)","(149, 3109)","(149, 3085)"
723.192,0.900731,0.837658,0.914853,0.6554,0.593912,0.731433,0.768704,0.935892,0.845536,0.859841,0.793985
724.819,0.913989,0.842525,0.903879,0.661621,0.592889,0.75118,0.782073,0.93103,0.850863,0.858714,0.788879
726.446,0.889268,0.838399,0.913261,0.65826,0.593967,0.756061,0.787333,0.946079,0.855539,0.871931,0.769385
728.073,0.915165,0.840828,0.91462,0.658068,0.609718,0.744807,0.787181,0.936029,0.846261,0.862066,0.783899
729.699,0.892846,0.84701,0.91754,0.674436,0.609686,0.757239,0.79402,0.931217,0.846246,0.863225,0.795658
731.326,0.906659,0.846869,0.933883,0.664223,0.608792,0.759323,0.790479,0.942462,0.857069,0.862322,0.800891
732.953,0.913643,0.84166,0.922655,0.660857,0.603109,0.769645,0.786874,0.934971,0.858133,0.861756,0.793503
734.58,0.899047,0.850812,0.931016,0.661374,0.604858,0.769784,0.788267,0.936226,0.856701,0.873504,0.78799
736.206,0.916175,0.867956,0.9189,0.668984,0.609017,0.764665,0.790887,0.944928,0.87266,0.873175,0.789399
737.833,0.912011,0.850347,0.942585,0.684083,0.605051,0.759222,0.82151,0.941311,0.873283,0.875276,0.803888
739.46,0.907977,0.872529,0.931629,0.681855,0.617568,0.779307,0.807308,0.93449,0.870139,0.870846,0.799487
741.087,0.910998,0.865157,0.936754,0.676118,0.609406,0.755716,0.804729,0.941888,0.876605,0.874412,0.803559
742.713,0.924721,0.855159,0.94765,0.670858,0.612,0.762851,0.808672,0.957971,0.863603,0.867511,0.804722
744.34,0.916545,0.870111,0.945479,0.688725,0.634182,0.781737,0.81534,0.958135,0.875298,0.88703,0.808253
745.967,0.912695,0.855966,0.938083,0.682724,0.626424,0.788532,0.800221,0.951648,0.886832,0.879567,0.810231
747.593,0.916089,0.853631,0.948699,0.686701,0.624929,0.78136,0.802352,0.955418,0.882408,0.891084,0.826105
749.22,0.912055,0.857029,0.981131,0.688224,0.615873,0.783371,0.808657,0.94245,0.898225,0.892738,0.814991
750.847,0.926824,0.864482,0.964493,0.692505,0.619094,0.779761,0.794978,0.962265,0.901334,0.890076,0.816886
752.474,0.921469,0.856139,0.953823,0.684657,0.62804,0.795734,0.817223,0.951811,0.888899,0.887236,0.808603
754.1,0.926962,0.862404,0.950055,0.703971,0.639528,0.776681,0.812747,0.96432,0.89313,0.885126,0.826465
755.727,0.922378,0.872895,0.951551,0.701003,0.621047,0.789778,0.795117,0.946341,0.902601,0.903515,0.834136
757.354,0.929158,0.87124,0.955095,0.682971,0.625799,0.787938,0.81528,0.954704,0.900994,0.885289,0.82348
758.981,0.935805,0.887511,0.94639,0.69533,0.625515,0.782305,0.812168,0.9619,0.900353,0.902133,0.837115
760.607,0.92476,0.860547,0.968899,0.688184,0.621555,0.797897,0.813498,0.973321,0.909031,0.885607,0.835671
762.234,0.931453,0.878789,0.959221,0.697839,0.632975,0.793925,0.811069,0.969896,0.905713,0.893283,0.82155
